timestamp_iso,replicas,phase
2026-06-13T17:07:03Z,1,low
2026-06-13T17:08:04Z,2,mid
2026-06-13T17:09:04Z,4,high
2026-06-13T17:11:20Z,1,low
2026-06-13T17:12:20Z,2,mid
2026-06-13T17:13:21Z,4,high
2026-06-13T17:14:21Z,2,mid
2026-06-13T17:15:21Z,1,low
2026-06-13T17:16:22Z,1,low
2026-06-13T17:17:22Z,2,mid
2026-06-13T17:18:22Z,4,high
2026-06-13T17:19:22Z,2,mid
2026-06-13T17:20:23Z,1,low
2026-06-13T17:21:23Z,1,low
2026-06-13T17:22:23Z,2,mid
2026-06-13T17:23:24Z,4,high
2026-06-13T17:24:24Z,2,mid
2026-06-13T17:25:24Z,1,low
2026-06-13T17:26:25Z,1,low
2026-06-13T17:27:25Z,2,mid
2026-06-13T17:28:25Z,4,high
2026-06-13T17:29:26Z,2,mid
2026-06-13T17:30:26Z,1,low
2026-06-13T17:31:26Z,1,low
2026-06-13T17:32:26Z,2,mid
2026-06-13T17:33:27Z,4,high
2026-06-13T17:34:27Z,2,mid
2026-06-13T17:35:27Z,1,low
2026-06-13T17:36:28Z,1,low
2026-06-13T17:37:28Z,2,mid
2026-06-13T17:38:28Z,4,high
2026-06-13T17:39:29Z,2,mid
2026-06-13T17:40:29Z,1,low
2026-06-13T17:41:29Z,1,low
2026-06-13T17:42:30Z,2,mid
2026-06-13T17:43:30Z,4,high
2026-06-13T17:44:30Z,2,mid
2026-06-13T17:45:30Z,1,low
2026-06-13T17:46:31Z,1,low
2026-06-13T17:47:31Z,2,mid
2026-06-13T17:48:32Z,4,high
2026-06-13T17:49:32Z,2,mid
2026-06-13T17:50:32Z,1,low
2026-06-13T17:51:33Z,1,low
2026-06-13T17:52:33Z,2,mid
2026-06-13T17:53:33Z,4,high
2026-06-13T17:54:34Z,2,mid
2026-06-13T17:55:34Z,1,low
2026-06-13T17:56:34Z,1,low
2026-06-13T17:57:34Z,2,mid
2026-06-13T17:58:35Z,4,high
2026-06-13T17:59:35Z,2,mid
2026-06-13T18:00:35Z,1,low
2026-06-13T18:01:36Z,1,low
2026-06-13T18:02:36Z,2,mid
2026-06-13T18:03:37Z,4,high
2026-06-13T18:04:37Z,2,mid
2026-06-13T18:05:37Z,1,low
2026-06-13T18:06:38Z,1,low
2026-06-13T18:07:38Z,2,mid
2026-06-13T18:08:39Z,4,high
2026-06-13T18:09:39Z,2,mid
2026-06-13T18:10:39Z,1,low
2026-06-13T18:11:40Z,1,low
2026-06-13T18:12:40Z,2,mid
2026-06-13T18:13:40Z,4,high
2026-06-13T18:14:41Z,2,mid
2026-06-13T18:15:41Z,1,low
2026-06-13T18:16:42Z,1,low
2026-06-13T18:17:42Z,2,mid
2026-06-13T18:18:43Z,4,high
2026-06-13T18:19:43Z,2,mid
2026-06-13T18:20:44Z,1,low
2026-06-13T18:21:44Z,1,low
2026-06-13T18:22:44Z,2,mid
2026-06-13T18:23:45Z,4,high
2026-06-13T18:24:45Z,2,mid
2026-06-13T18:25:46Z,1,low
2026-06-13T18:26:46Z,1,low
2026-06-13T18:27:46Z,2,mid
2026-06-13T18:28:47Z,4,high
2026-06-13T18:29:47Z,2,mid
2026-06-13T18:30:47Z,1,low
2026-06-13T18:31:48Z,1,low
2026-06-13T18:32:48Z,2,mid
2026-06-13T18:33:48Z,4,high
2026-06-13T18:34:48Z,2,mid
2026-06-13T18:35:49Z,1,low
2026-06-13T18:36:49Z,1,low
2026-06-13T18:37:50Z,2,mid
2026-06-13T18:38:50Z,4,high
2026-06-13T18:39:50Z,2,mid
2026-06-13T18:40:51Z,1,low
2026-06-13T18:41:51Z,1,low
2026-06-13T18:42:51Z,2,mid
2026-06-13T18:43:52Z,4,high
2026-06-13T18:44:52Z,2,mid
2026-06-13T18:45:52Z,1,low
2026-06-13T18:46:53Z,1,low
